"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","1","Login thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","1","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","2","Login thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
"","0","Login không thành công","tests","2026-06-28","broken","2026-06-28","TestLogin","test_login","",""
