"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","9","0","Login thất bại","0"
"0","","0","Cart","1","0","Verify item hiển thị trong cart","0"
"0","","0","Product Detail","1","0","Back sau khi add — cart giữ nguyên","0"
"0","","0","Checkout","4","0","Step 1 - Bỏ trống các field","0"
"0","","0","Inventory - Cart","1","0","Đo thời gian add to cart - Performance User","0"
"0","","0","Product Detail","3","0","Verify thông tin sản phẩm","0"
"0","","0","Inventory - Cart","4","0","Thêm 1 sản phẩm - Standard User","0"
"0","","0","Authentication","5","0","Login thành công","0"
"0","","0","Inventory - Sort","4","0","Sort sản phẩm","0"
"0","","0","Inventory - Cart","1","0","Giỏ hàng giữ nguyên sau refresh - Standard User","0"
"0","","0","Checkout","1","0","Step 2 - Verify tên và giá sản phẩm","0"
"0","","0","Product Detail","2","0","Add to cart từ Detail page","0"
"0","","0","Inventory - Cart","2","0","Add to cart trả về lỗi - Error User","0"
"0","","0","Product Detail","1","0","Remove từ Detail page","0"
"0","","0","Inventory - Cart","1","0","Thêm tất cả sản phẩm - Standard User","0"
"0","","0","Cart","1","0","Continue shopping về Inventory","0"
"0","","0","Product Detail","1","0","Add từ detail page → verify trong Cart","0"
"0","","0","Inventory - Cart","2","0","Thêm nhiều sản phẩm - Standard User","0"
"0","","0","Checkout","1","0","Step 2 - Cancel về Inventory","0"
"0","","0","Checkout","1","0","Step 1 - Hiển thị form checkout","0"
"0","","0","Cart","1","0","Remove item từ Cart page","0"
"0","","0","Cart","1","0","Verify tên và giá đúng trong cart","0"
"0","","0","Inventory - Cart","2","0","Add to cart bị bug - Problem User","0"
"0","","0","Inventory - Cart","2","0","Xóa sản phẩm khỏi giỏ - Standard User","0"
"0","","0","Cart","1","0","Chuyển sang trang Checkout","0"
"0","","0","Checkout","1","0","Step 2 - Hiển thị order summary","0"
"0","","0","Checkout","1","0","Hoàn thành đơn hàng","0"
"0","","0","Inventory - Cart","1","0","Truy cập inventory khi chưa login","0"
"0","","0","Checkout","1","0","Step 1 - Cancel về Cart","0"
"0","","0","Checkout","1","0","Step 2 - Verify tổng tiền đúng","0"
"0","","0","Product Detail","1","0","Back to Products","0"
